Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Takeuchi CMCmax: 0.0517, PF: 15, CMCarea: 0.3333
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujtia CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Yokota CMCmax: 0.0660, PF: 33, CMCarea: 0.2869
Yokota CMCmax: 0.0660, PF: 33, CMCarea: 0.2869
Yokota CMCmax: 0.0660, PF: 33, CMCarea: 0.2869
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Yokota CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Takeuchi CMCmax: 0.0666, PF: 33, CMCarea: 0.2932
Takeuchi CMCmax: 0.0517, PF: 15, CMCarea: 0.3333
Takeuchi CMCmax: 0.0517, PF: 15, CMCarea: 0.3333
Egashira CMCmax: 0.0664, PF: 14, CMCarea: 0.3563
Sakaguchi CMCmax: 0.5055, PF: 23, CMCarea: 3.2266
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
Fujita CMCmax: 0.4789, PF: 25, CMCarea: 3.8105
